Date,Argentina,Australia,Austria,Belgium,Bolivia,Brazil,Bulgaria,Canada,Chile,France,Germany,Hungary,Japan,Mexico,Netherlands,New Zealand,Norway,Paraguay,Peru,Poland,Russia,South Africa,Spain,Sweden,Switzerland,Ukraine,US,Uruguay
2013-06-23,238.0,505.0,549.0,17.0,178.0,212.0,140.0,821.0,61.0,4.0,375.0,30.0,6.0,825.0,20.0,63.0,24.0,368.0,152.0,13.0,509.0,278.0,4008.0,9.0,1.0,17.0,203.0,966.0
2013-06-16,221.0,507.0,525.0,19.0,182.0,212.0,161.0,831.0,53.0,4.0,353.0,34.0,7.0,798.0,19.0,46.0,22.0,315.0,146.0,12.0,526.0,282.0,4204.0,9.0,1.0,21.0,220.0,997.0
2013-06-09,218.0,513.0,636.0,26.0,198.0,210.0,156.0,835.0,43.0,6.0,413.0,34.0,10.0,803.0,23.0,52.0,19.0,330.0,140.0,13.0,529.0,307.0,3891.0,11.0,2.0,20.0,210.0,1024.0
2013-06-02,207.0,506.0,638.0,26.0,207.0,210.0,150.0,872.0,32.0,7.0,451.0,40.0,15.0,818.0,20.0,48.0,26.0,283.0,143.0,13.0,514.0,310.0,3563.0,14.0,2.0,29.0,232.0,1063.0
2013-05-26,180.0,475.0,588.0,35.0,166.0,203.0,163.0,986.0,22.0,8.0,468.0,34.0,25.0,820.0,19.0,42.0,36.0,258.0,144.0,14.0,514.0,323.0,3439.0,16.0,2.0,27.0,222.0,1149.0
2013-05-19,156.0,443.0,607.0,39.0,219.0,215.0,184.0,1002.0,22.0,9.0,477.0,29.0,44.0,858.0,16.0,32.0,44.0,263.0,140.0,15.0,525.0,331.0,3166.0,17.0,2.0,27.0,209.0,1165.0
2013-05-12,128.0,393.0,638.0,45.0,221.0,214.0,203.0,1046.0,18.0,7.0,518.0,32.0,71.0,919.0,17.0,32.0,47.0,220.0,148.0,17.0,546.0,376.0,3307.0,14.0,2.0,31.0,230.0,1286.0
2013-05-05,109.0,379.0,587.0,39.0,215.0,218.0,213.0,1133.0,14.0,8.0,492.0,33.0,122.0,966.0,19.0,22.0,47.0,229.0,142.0,19.0,569.0,440.0,3120.0,22.0,3.0,23.0,291.0,1438.0
2013-04-28,95.0,305.0,598.0,38.0,195.0,219.0,230.0,1265.0,12.0,8.0,556.0,39.0,157.0,991.0,21.0,23.0,45.0,229.0,151.0,24.0,595.0,471.0,2683.0,18.0,3.0,23.0,359.0,1534.0
2013-04-21,105.0,272.0,726.0,37.0,211.0,225.0,270.0,1379.0,11.0,11.0,577.0,46.0,169.0,988.0,24.0,23.0,51.0,235.0,149.0,28.0,627.0,537.0,2675.0,21.0,4.0,26.0,419.0,1681.0
